Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jerome Anderson,,,NBA,,49,,5.9,1.0,2.1,.490,,,,,,,,0.5,0.7,.694,0.3,0.2,0.5,0.3,0.2,0.1,1.0,2.6,
Justin Anderson,,,NBA,,176,19,14.0,2.0,4.8,.422,0.7,2.2,.293,1.4,2.6,.533,.489,1.0,1.3,.788,0.7,2.1,2.7,0.7,0.5,0.3,0.6,1.2,5.8
Kenny Anderson,,,NBA,,858,693,30.1,4.7,11.1,.421,0.6,1.8,.346,4.0,9.2,.436,.449,2.6,3.3,.790,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6
Kim Anderson,,,NBA,,21,,10.7,1.1,3.7,.312,,,,,,,,0.7,1.3,.536,0.8,1.3,2.1,0.7,0.2,0.2,1.0,2.0,3.0
Kyle Anderson,,,NBA,,280,120,18.9,2.0,4.2,.478,0.2,0.6,.329,1.8,3.6,.502,.501,0.8,1.2,.716,0.6,3.2,3.8,1.8,1.0,0.5,0.8,1.3,5.0
Michael Anderson,,,NBA,,36,12,20.3,2.0,4.9,.417,0.0,0.2,.143,2.0,4.7,.429,.420,1.6,2.3,.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
Nick Anderson,,,NBA,,800,636,31.2,5.5,12.4,.446,1.3,3.7,.356,4.2,8.7,.485,.500,2.1,3.1,.667,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4
Richard Anderson,,,NBA,,407,30,14.7,2.2,5.4,.412,0.4,1.1,.333,1.9,4.3,.432,.446,0.7,0.9,.762,1.1,2.4,3.5,1.5,0.6,0.2,0.9,1.7,5.6
Ron Anderson,,,NBA,,664,79,22.8,4.4,9.4,.471,0.2,0.6,.287,4.3,8.8,.482,.479,1.6,2.0,.814,1.3,2.2,3.5,1.4,0.7,0.1,1.1,1.5,10.6
Ryan Anderson,,,NBA,,637,289,26.2,4.3,10.2,.422,2.1,5.5,.380,2.2,4.8,.471,.524,1.8,2.1,.854,2.0,3.4,5.3,0.9,0.5,0.3,0.9,2.0,12.5
Shandon Anderson,,,NBA,,719,226,22.2,2.8,6.1,.457,0.4,1.4,.316,2.3,4.7,.498,.492,1.4,1.9,.739,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.0,7.4
Willie Anderson,,,NBA,,555,432,28.8,5.1,10.7,.471,0.2,0.7,.266,4.9,10.1,.485,.479,1.9,2.4,.786,1.0,2.8,3.8,3.8,1.1,0.6,2.1,2.7,12.2
Wally Anderzunas,,,NBA,,44,,8.4,1.5,3.8,.392,,,,,,,,0.7,1.0,.630,1.9,0.2,1.1,3.6
Martynas Andriuskevicius,,,NBA,,6,0,1.5,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
Don Anielak,,,NBA,,1,,10.0,0.0,4.0,.000,,,,,,,,3.0,4.0,.750,2.0,0.0,0.0,3.0
Ike Anigbogu,,,NBA,,14,0,2.6,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.4,0.4,.833,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9
Michael Ansley,,,NBA,,149,6,14.4,2.6,5.0,.513,0.0,0.0,,2.6,5.0,.513,.513,1.7,2.4,.722,2.1,2.1,4.2,0.4,0.3,0.2,0.6,1.9,6.9
Chris Anstey,,,NBA,,155,23,13.9,2.0,4.7,.413,0.0,0.2,.138,1.9,4.5,.424,.416,1.3,1.7,.755,1.1,2.3,3.4,0.8,0.5,0.4,0.9,2.4,5.2
Giannis Antetokounmpo,,,NBA,,415,350,32.8,6.5,12.7,.511,0.4,1.6,.270,6.1,11.1,.545,.528,4.3,5.8,.741,1.6,6.2,7.8,3.9,1.2,1.3,2.5,3.0,17.7
Thanasis Antetokounmpo,,,NBA,,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
Carmelo Anthony,,,NBA,,1064,1056,35.8,8.6,19.1,.449,1.3,3.7,.347,7.3,15.4,.473,.482,5.6,6.9,.811,1.7,4.8,6.5,3.0,1.0,0.5,2.7,2.9,24.0
Greg Anthony,,,NBA,,757,227,20.9,2.5,6.3,.403,0.8,2.3,.349,1.7,4.0,.434,.467,1.4,1.9,.733,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3
